"g_id","g_link"
"206173","https://store.steampowered.com/app/206173/Rocksmith__Venues__Time_Saver_Pack/?snr=1_241_4_casual_104_1610"
"206174","https://store.steampowered.com/app/206174/Rocksmith__Avenged_Sevenfold__Beast_and_the_Harlot/?snr=1_241_4_casual_104_1441"
"206175","https://store.steampowered.com/app/206175/Rocksmith__Avenged_Sevenfold__Afterlife/?snr=1_241_4_casual_104_1367"
"206176","https://store.steampowered.com/app/206176/Rocksmith__Avenged_Sevenfold__Nightmare/?snr=1_241_4_casual_104_1353"
"206178","https://store.steampowered.com/app/206178/Rocksmith__Rush__Tom_Sawyer/?snr=1_241_4_casual_104_1369"
"206179","https://store.steampowered.com/app/206179/Rocksmith__Rush__Limelight/?snr=1_241_4_casual_104_1450"
"206415","https://store.steampowered.com/app/206415/Crazy_Machines_Elements_DLC__Gadget_Fun__Tricky_Riddles/?snr=1_241_4_casual_104_1530"
"206416","https://store.steampowered.com/app/206416/Crazy_Machines_Elements_DLC__Collision_Course__Mental_Activity/?snr=1_241_4_casual_104_1536"
"207090","https://store.steampowered.com/app/207090/Indie_Game_The_Movie_Special_Edition_DLC/?snr=1_241_4_casual_104_373"
"207655","https://store.steampowered.com/app/207655/A_Virus_Named_TOM_Soundtrack/?snr=1_241_4_casual_104_1596"
"207670","https://store.steampowered.com/app/207670/AVSEQ/?snr=1_241_4_casual_104_562"
"207816","https://store.steampowered.com/app/207816/PAYDAY_The_Heist_Soundtrack/?snr=1_241_4_casual_104_181"
"208292","https://store.steampowered.com/app/208292/Train_Simulator_Southern_Pacific_Cab_Forward_Loco_AddOn/?snr=1_241_4_casual_104_610"
"208318","https://store.steampowered.com/app/208318/Train_Simulator_PRR_Baldwin_Centipede_Loco_AddOn/?snr=1_241_4_casual_104_505"
"209793","https://store.steampowered.com/app/209793/Splice_Soundtrack/?snr=1_241_4_casual_104_1575"
"209801","https://store.steampowered.com/app/209801/Splice_Epilogue_Soundtrack/?snr=1_241_4_casual_104_1595"
"210510","https://store.steampowered.com/app/210510/Swords_and_Soldiers__Super_Saucy_Sausage_Fest_DLC/?snr=1_241_4_casual_104_1143"
"211800","https://store.steampowered.com/app/211800/Dead_Hungry_Diner/?snr=1_241_4_casual_104_191"
